HGNC_symbol	gene_name	mito_process	gene_function	chr	obsolete_HGNC_symbol	HGNC_ID	HGNC_name	ENSG_ID	ENSG_name	NCBI_GeneID	NCBI_name
AGXT2	alanine--glyoxylate aminotransferase 2	Amino Acid Metabolism	The protein encoded by this gene is a class III pyridoxal-phosphate-dependent mitochondrial aminotransferase. It catalyzes the conversion of glyoxylate to glycine using L-alanine as the amino donor. It is an important regulator of methylarginines and is involved in the control of blood pressure in kidney. Polymorphisms in this gene affect methylarginine and beta-aminoisobutyrate metabolism, and are associated with carotid atherosclerosis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2015],	5	AGT2, BAIBA, DAIBAT	HGNC:14412	AGXT2	ENSG00000113492	AGXT2	64902	AGXT2
ALDH18A1	aldehyde dehydrogenase 18 family member A1	Amino Acid Metabolism	This gene is a member of the aldehyde dehydrogenase family and encodes a bifunctional ATP- and NADPH-dependent mitochondrial enzyme with both gamma-glutamyl kinase and gamma-glutamyl phosphate reductase activities. The encoded protein catalyzes the reduction of glutamate to delta1-pyrroline-5-carboxylate, a critical step in the de novo biosynthesis of proline, ornithine and arginine. Mutations in this gene lead to hyperammonemia, hypoornithinemia, hypocitrullinemia, hypoargininemia and hypoprolinemia and may be associated with neurodegeneration, cataracts and connective tissue diseases. Alternatively spliced transcript variants, encoding different isoforms, have been described for this gene. [provided by RefSeq, Jul 2008],	10	ADCL3, ARCL3A, GSAS, P5CS, PYCS, SPG9, SPG9A, SPG9B	HGNC:9722	ALDH18A1	ENSG00000059573	ALDH18A1	5832	ALDH18A1
ALDH4A1	aldehyde dehydrogenase 4 family member A1	Amino Acid Metabolism	This protein belongs to the aldehyde dehydrogenase family of proteins. This enzyme is a mitochondrial matrix NAD-dependent dehydrogenase which catalyzes the second step of the proline degradation pathway, converting pyrroline-5-carboxylate to glutamate. Deficiency of this enzyme is associated with type II hyperprolinemia, an autosomal recessive disorder characterized by accumulation of delta-1-pyrroline-5-carboxylate (P5C) and proline. Alternatively spliced transcript variants encoding different isoforms have been identified for this gene. [provided by RefSeq, Jun 2009],	1	ALDH4, P5CD, P5CDh	HGNC:406	ALDH4A1	ENSG00000159423	ALDH4A1	8659	ALDH4A1
ALDH5A1	aldehyde dehydrogenase 5 family member A1	Amino Acid Metabolism	This protein belongs to the aldehyde dehydrogenase family of proteins. This gene encodes a mitochondrial NAD(+)-dependent succinic semialdehyde dehydrogenase. A deficiency of this enzyme, known as 4-hydroxybutyricaciduria, is a rare inborn error in the metabolism of the neurotransmitter 4-aminobutyric acid (GABA). In response to the defect, physiologic fluids from patients accumulate GHB, a compound with numerous neuromodulatory properties. Two transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Jul 2008],	6	SSADH, SSDH	HGNC:408	ALDH5A1	ENSG00000112294	ALDH5A1	7915	ALDH5A1
ALDH6A1	aldehyde dehydrogenase 6 family member A1	Amino Acid Metabolism	Plays a role in valine and pyrimidine metabolism. Binds fatty acyl-CoA	14	MMSADHA, MMSDH	HGNC:7179	ALDH6A1	ENSG00000119711	ALDH6A1	4329	ALDH6A1
AMT	aminomethyltransferase	Amino Acid Metabolism	The glycine cleavage system catalyzes the degradation of glycine	3	GCE, GCST, GCVT, NKH	HGNC:473	AMT	ENSG00000145020	AMT	275	AMT
ASS1	argininosuccinate synthase 1	Amino Acid Metabolism	The protein encoded by this gene catalyzes the penultimate step of the arginine biosynthetic pathway. There are approximately 10 to 14 copies of this gene including the pseudogenes scattered across the human genome, among which the one located on chromosome 9 appears to be the only functional gene for argininosuccinate synthetase. Mutations in the chromosome 9 copy of this gene cause citrullinemia. Two transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Aug 2012],	9	ASS, CTLN1	HGNC:758	ASS1	ENSG00000130707	ASS1	445	ASS1
AUH	AU RNA binding methylglutaconyl-CoA hydratase	Amino Acid Metabolism	Catalyzes the conversion of 3-methylglutaconyl-CoA to 3- hydroxy-3-methylglutaryl-CoA. Has very low enoyl-CoA hydratase activity. Was originally identified as RNA-binding protein that binds in vitro to clustered 5'-AUUUA-3' motifs	9		HGNC:890	AUH	ENSG00000148090	AUH	549	AUH
BCAT1	branched chain amino acid transaminase 1	Amino Acid Metabolism	This gene encodes the cytosolic form of the enzyme branched-chain amino acid transaminase. This enzyme catalyzes the reversible transamination of branched-chain alpha-keto acids to branched-chain L-amino acids essential for cell growth. Two different clinical disorders have been attributed to a defect of branched-chain amino acid transamination: hypervalinemia and hyperleucine-isoleucinemia. As there is also a gene encoding a mitochondrial form of this enzyme, mutations in either gene may contribute to these disorders. Alternatively spliced transcript variants have been described. [provided by RefSeq, May 2010],	12	BCATC, BCT1, ECA39, MECA39, PNAS121, PP18	HGNC:976	BCAT1	ENSG00000060982	BCAT1	586	BCAT1
BCAT2	branched chain amino acid transaminase 2	Amino Acid Metabolism	This gene encodes a branched chain aminotransferase found in mitochondria. The encoded protein forms a dimer that catalyzes the first step in the production of the branched chain amino acids leucine, isoleucine, and valine. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2009],	19	BCAM, BCATM, BCT2, PP18	HGNC:977	BCAT2	ENSG00000105552	BCAT2	587	BCAT2
BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide	Amino Acid Metabolism	The branched-chain alpha-keto dehydrogenase complex catalyzes the overall conversion of alpha-keto acids to acyl-CoA and CO(2). It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1), lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3)	19	BCKDE1A, MSU, MSUD1, OVD1A	HGNC:986	BCKDHA	ENSG00000248098	BCKDHA	593	BCKDHA
BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	Amino Acid Metabolism	The branched-chain alpha-keto dehydrogenase complex catalyzes the overall conversion of alpha-keto acids to acyl-CoA and CO(2). It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1), lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3)	6	BCKDE1B, BCKDH E1-beta, E1B	HGNC:987	BCKDHB	ENSG00000083123	BCKDHB	594	BCKDHB
BCKDK	branched chain ketoacid dehydrogenase kinase	Amino Acid Metabolism	The branched-chain alpha-ketoacid dehydrogenase complex (BCKD) is an important regulator of the valine, leucine, and isoleucine catabolic pathways. The protein encoded by this gene is found in the mitochondrion, where it phosphorylates and inactivates BCKD. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2012],	16	BCKDKD, BDK	HGNC:16902	BCKDK	ENSG00000103507	BCKDK	10295	BCKDK
CHDH	choline dehydrogenase	Amino Acid Metabolism	The protein encoded by this gene is a choline dehydrogenase that localizes to the mitochondrion. Variations in this gene can affect susceptibility to choline deficiency. A few transcript variants have been found for this gene, but the full-length nature of only one has been characterized to date. [provided by RefSeq, Dec 2010],	3		HGNC:24288	CHDH	ENSG00000016391	CHDH	55349	CHDH
CKMT1A	creatine kinase, mitochondrial 1A	Amino Acid Metabolism	"Mitochondrial creatine (MtCK) kinase is responsible for the transfer of high energy phosphate from mitochondria to the cytosolic carrier, creatine. It belongs to the creatine kinase isoenzyme family. It exists as two isoenzymes, sarcomeric MtCK and ubiquitous MtCK, encoded by separate genes. Mitochondrial creatine kinase occurs in two different oligomeric forms: dimers and octamers, in contrast to the exclusively dimeric cytosolic creatine kinase isoenzymes. Many malignant cancers with poor prognosis have shown overexpression of ubiquitous mitochondrial creatine kinase; this may be related to high energy turnover and failure to eliminate cancer cells via apoptosis. Ubiquitous mitochondrial creatine kinase has 80% homology with the coding exons of sarcomeric mitochondrial creatine kinase. Two genes located near each other on chromosome 15 have been identified which encode identical mitochondrial creatine kinase proteins. [provided by RefSeq, Jul 2008],"	15	CKMT1, U-MtCK, mia-CK	HGNC:31736	CKMT1A	ENSG00000223572	CKMT1A	548596	CKMT1A
CKMT1B	creatine kinase, mitochondrial 1B	Amino Acid Metabolism	"Mitochondrial creatine (MtCK) kinase is responsible for the transfer of high energy phosphate from mitochondria to the cytosolic carrier, creatine. It belongs to the creatine kinase isoenzyme family. It exists as two isoenzymes, sarcomeric MtCK and ubiquitous MtCK, encoded by separate genes. Mitochondrial creatine kinase occurs in two different oligomeric forms: dimers and octamers, in contrast to the exclusively dimeric cytosolic creatine kinase isoenzymes. Many malignant cancers with poor prognosis have shown overexpression of ubiquitous mitochondrial creatine kinase; this may be related to high energy turnover and failure to eliminate cancer cells via apoptosis. Ubiquitous mitochondrial creatine kinase has 80% homology with the coding exons of sarcomeric mitochondrial creatine kinase. Two genes located near each other on chromosome 15 have been identified which encode identical mitochondrial creatine kinase proteins. [provided by RefSeq, Jul 2008],"	15	CKMT, CKMT1, UMTCK	HGNC:1995	CKMT1B	ENSG00000237289	CKMT1B	1159	CKMT1B
CKMT2	creatine kinase, mitochondrial 2	Amino Acid Metabolism	Mitochondrial creatine kinase (MtCK) is responsible for the transfer of high energy phosphate from mitochondria to the cytosolic carrier, creatine. It belongs to the creatine kinase isoenzyme family. It exists as two isoenzymes, sarcomeric MtCK and ubiquitous MtCK, encoded by separate genes. Mitochondrial creatine kinase occurs in two different oligomeric forms: dimers and octamers, in contrast to the exclusively dimeric cytosolic creatine kinase isoenzymes. Sarcomeric mitochondrial creatine kinase has 80% homology with the coding exons of ubiquitous mitochondrial creatine kinase. This gene contains sequences homologous to several motifs that are shared among some nuclear genes encoding mitochondrial proteins and thus may be essential for the coordinated activation of these genes during mitochondrial biogenesis. Three transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008],	5	SMTCK	HGNC:1996	CKMT2	ENSG00000131730	CKMT2	1160	CKMT2
DBT	dihydrolipoamide branched chain transacylase E2	Amino Acid Metabolism	The branched-chain alpha-keto dehydrogenase complex catalyzes the overall conversion of alpha-keto acids to acyl-CoA and CO(2). It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1), lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3)	1	BCATE2, BCKAD-E2, BCKADE2, BCOADC-E2, E2, E2B	HGNC:2698	DBT	ENSG00000137992	DBT	1629	DBT
DGLUCY	D-glutamate cyclase	Amino Acid Metabolism	D-glutamate cyclase activity, glutamate metabolic process	14	C14orf159	HGNC:20498	DGLUCY	ENSG00000133943	DGLUCY	80017	DGLUCY
DHTKD1	dehydrogenase E1 and transketolase domain containing 1	Amino Acid Metabolism	The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2). It contains multiple copies of three enzymatic components: 2- oxoglutarate dehydrogenase (E1), dihydrolipoamide succinyltransferase (E2) and lipoamide dehydrogenase (E3) (By similarity)	10	AMOXAD, CMT2Q	HGNC:23537	DHTKD1	ENSG00000181192	DHTKD1	55526	DHTKD1
ETHE1	ETHE1 persulfide dioxygenase	Amino Acid Metabolism	This gene encodes a member of the metallo beta-lactamase family of iron-containing proteins involved in the mitochondrial sulfide oxidation pathway. The encoded protein catalyzes the oxidation of a persulfide substrate to sulfite. Certain mutations in this gene cause ethylmalonic encephalopathy, an infantile metabolic disorder affecting the brain, gastrointestinal tract and peripheral vessels. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Mar 2016],	19	HSCO, YF13H12	HGNC:23287	ETHE1	ENSG00000105755	ETHE1	23474	ETHE1
ETNPPL	ethanolamine-phosphate phospho-lyase	Amino Acid Metabolism	cofactor:Pyridoxal phosphate similarity:Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase familysubunit:Homotetramer	4	AGXT2L1	HGNC:14404	ETNPPL	ENSG00000164089	ETNPPL	64850	ETNPPL
FAHD1	fumarylacetoacetate hydrolase domain containing 1	Amino Acid Metabolism	May have hydrolase activity	16	C16orf36, YISKL	HGNC:14169	FAHD1	ENSG00000180185	FAHD1	81889	FAHD1
FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	Amino Acid Metabolism	May have hydrolase activity (By similarity)	2	CGI-105	HGNC:24252	FAHD2A	ENSG00000115042	FAHD2A	51011	FAHD2A
FAHD2B	fumarylacetoacetate hydrolase domain containing 2B	Amino Acid Metabolism	May have hydrolase activity (By similarity)	2		HGNC:25318	FAHD2B	ENSG00000144199	FAHD2B	151313	FAHD2B
GATM	glycine amidinotransferase	Amino Acid Metabolism	This gene encodes a mitochondrial enzyme that belongs to the amidinotransferase family. This enzyme is involved in creatine biosynthesis, whereby it catalyzes the transfer of a guanido group from L-arginine to glycine, resulting in guanidinoacetic acid, the immediate precursor of creatine. Mutations in this gene cause arginine:glycine amidinotransferase deficiency, an inborn error of creatine synthesis characterized by mental retardation, language impairment, and behavioral disorders. [provided by RefSeq, Jul 2008],	15	AGAT, AT, CCDS3	HGNC:4175	GATM	ENSG00000171766	GATM	2628	GATM
GCAT	glycine C-acetyltransferase	Amino Acid Metabolism	The degradation of L-threonine to glycine consists of a two-step biochemical pathway involving the enzymes L-threonine dehydrogenase and 2-amino-3-ketobutyrate coenzyme A ligase. L-Threonine is first converted into 2-amino-3-ketobutyrate by L-threonine dehydrogenase. This gene encodes the second enzyme in this pathway, which then catalyzes the reaction between 2-amino-3-ketobutyrate and coenzyme A to form glycine and acetyl-CoA. The encoded enzyme is considered a class II pyridoxal-phosphate-dependent aminotransferase. Alternate splicing results in multiple transcript variants. A pseudogene of this gene is found on chromosome 14. [provided by RefSeq, Jan 2010],	22	KBL	HGNC:4188	GCAT	ENSG00000100116	GCAT	23464	GCAT
GCSH	glycine cleavage system protein H	Amino Acid Metabolism	The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein	16	GCE, NKH	HGNC:4208	GCSH	ENSG00000140905	GCSH	2653	GCSH
GLDC	glycine decarboxylase	Amino Acid Metabolism	"The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor; CO(2) is released and the remaining methylamine moiety is then transferred to the lipoamide cofactor of the H protein"	9	GCE, GCSP, HYGN1	HGNC:4313	GLDC	ENSG00000178445	GLDC	2731	GLDC
GLS	glutaminase	Amino Acid Metabolism	Catalyzes the first reaction in the primary pathway for the renal catabolism of glutamine	2	AAD20, CASGID, EIEE71, GAC, GAM1, KGA, GLS	HGNC:4331	GLS	ENSG00000115419	GLS	2744	GLS
GLS2	glutaminase 2	Amino Acid Metabolism	Plays an important role in the regulation of glutamine catabolism	12	GA, GLS, LGA, hLGA	HGNC:29570	GLS2	ENSG00000135423	GLS2	27165	GLS2
GLUD1	glutamate dehydrogenase 1	Amino Acid Metabolism	May be involved in learning and memory reactions by increasing the turnover of the excitatory neurotransmitter glutamate (By similarity)	10	GDH, GDH1, GLUD	HGNC:4335	GLUD1	ENSG00000148672	GLUD1	2746	GLUD1
GLUD2	glutamate dehydrogenase 2	Amino Acid Metabolism	Important for recycling the chief excitatory neurotransmitter, glutamate, during neurotransmission	X	GDH2, GLUDP1	HGNC:4336	GLUD2	ENSG00000182890	GLUD2	2747	GLUD2
GLUL	glutamate-ammonia ligase	Amino Acid Metabolism	The protein encoded by this gene belongs to the glutamine synthetase family. It catalyzes the synthesis of glutamine from glutamate and ammonia in an ATP-dependent reaction. This protein plays a role in ammonia and glutamate detoxification, acid-base homeostasis, cell signaling, and cell proliferation. Glutamine is an abundant amino acid, and is important to the biosynthesis of several amino acids, pyrimidines, and purines. Mutations in this gene are associated with congenital glutamine deficiency, and overexpression of this gene was observed in some primary liver cancer samples. There are six pseudogenes of this gene found on chromosomes 2, 5, 9, 11, and 12. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2014],	1	GLNS, GS, PIG43, PIG59	HGNC:4341	GLUL	ENSG00000135821	GLUL	2752	GLUL
GOT2	glutamic-oxaloacetic transaminase 2	Amino Acid Metabolism	Facilitates cellular uptake of long-chain free fatty acids (By similarity)	16	KAT4, KATIV, KYAT4, mitAAT	HGNC:4433	GOT2	ENSG00000125166	GOT2	2806	GOT2
GPT2	glutamic--pyruvic transaminase 2	Amino Acid Metabolism	This gene encodes a mitochondrial alanine transaminase, a pyridoxal enzyme that catalyzes the reversible transamination between alanine and 2-oxoglutarate to generate pyruvate and glutamate. Alanine transaminases play roles in gluconeogenesis and amino acid metabolism in many tissues including skeletal muscle, kidney, and liver. Activating transcription factor 4 upregulates this gene under metabolic stress conditions in hepatocyte cell lines. A loss of function mutation in this gene has been associated with developmental encephalopathy. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2015],	16	ALT2, GPT 2, MRT49	HGNC:18062	GPT2	ENSG00000166123	GPT2	84706	GPT2
GSTZ1	glutathione S-transferase zeta 1	Amino Acid Metabolism	Bifunctional enzyme showing minimal glutathione- conjugating activity with ethacrynic acid and 7-chloro-4- nitrobenz-2-oxa-1,3-diazole and maleylacetoacetate isomerase activity. Has also low glutathione peroxidase activity with T- butyl and cumene hydroperoxides. Is able to catalyze the glutathione dependent oxygenation of dichloroacetic acid to glyoxylic acid	14	GSTZ1-1, MAAI, MAAID, MAI	HGNC:4643	GSTZ1	ENSG00000100577	GSTZ1	2954	GSTZ1
HIBADH	3-hydroxyisobutyrate dehydrogenase	Amino Acid Metabolism	This gene encodes a mitochondrial 3-hydroxyisobutyrate dehydrogenase enzyme. The encoded protein plays a critical role in the catabolism of L-valine by catalyzing the oxidation of 3-hydroxyisobutyrate to methylmalonate semialdehyde. [provided by RefSeq, Nov 2011],	7	NS5ATP1	HGNC:4907	HIBADH	ENSG00000106049	HIBADH	11112	HIBADH
HIBCH	3-hydroxyisobutyryl-CoA hydrolase	Amino Acid Metabolism	This gene encodes the enzyme responsible for hydrolysis of both HIBYL-CoA and beta-hydroxypropionyl-CoA. Mutations in this gene have been associated with 3-hyroxyisobutyryl-CoA hydrolase deficiency. Alternative splicing results in multiple transcript variants.[provided by RefSeq, May 2010],	2	HIBYLCOAH	HGNC:4908	HIBCH	ENSG00000198130	HIBCH	26275	HIBCH
HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	Amino Acid Metabolism	The protein encoded by this gene belongs to the HMG-CoA lyase family. It is a mitochondrial enzyme that catalyzes the final step of leucine degradation and plays a key role in ketone body formation. Mutations in this gene are associated with HMG-CoA lyase deficiency. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2009],	1	HL	HGNC:5005	HMGCL	ENSG00000117305	HMGCL	3155	HMGCL
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	Amino Acid Metabolism	This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is the substrate for HMG-CoA reductase	1		HGNC:5008	HMGCS2	ENSG00000134240	HMGCS2	3158	HMGCS2
IVD	isovaleryl-CoA dehydrogenase	Amino Acid Metabolism	Isovaleryl-CoA dehydrogenase (IVD) is a mitochondrial matrix enzyme that catalyzes the third step in leucine catabolism. The genetic deficiency of IVD results in an accumulation of isovaleric acid, which is toxic to the central nervous system and leads to isovaleric acidemia. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Apr 2009],	15	ACAD2	HGNC:6186	IVD	ENSG00000128928	IVD	3712	IVD
KMO	kynurenine 3-monooxygenase	Amino Acid Metabolism	This gene encodes a mitochondrion outer membrane protein that catalyzes the hydroxylation of L-tryptophan metabolite, L-kynurenine, to form L-3-hydroxykynurenine. Studies in yeast identified this gene as a therapeutic target for Huntington disease. [provided by RefSeq, Oct 2011],	1	dJ317G22.1	HGNC:6381	KMO	ENSG00000117009	KMO	8564	KMO
KYAT3	kynurenine aminotransferase 3	Amino Acid Metabolism	Catalyzes the irreversible transamination of the L- tryptophan metabolite L-kynurenine to form kynurenic acid (KA). May catalyze the beta-elimination of S-conjugates and Se- conjugates of L-(seleno)cysteine, resulting in the cleavage of the C-S or C-Se bond (By similarity)	1	CCBL2, KAT3, KATIII	HGNC:33238	KYAT3	ENSG00000137944	KYAT3	56267	KYAT3
LAP3	leucine aminopeptidase 3	Amino Acid Metabolism	catalytic activity:Release of an N-terminal amino acid, Xaa-|-Yaa-, in which Xaa is preferably Leu, but may be other amino acids including Pro although not Arg or Lys, and Yaa may be Pro. Amino acid amides and methyl esters are also readily hydrolyzed, but rates on arylamides are exceedingly lowcatalytic activity:Release of N-terminal proline from a peptidecofactor:Binds 2 zinc ions per subunit. One zinc ion is tightly bound and essential for enzyme activity, while the second metal coordination site can be occupied by zinc, magnesium or manganese to give enzymes of different activitiesfunction:Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptidessimilarity:Belongs to the peptidase M17 familysubunit:Homohexamer	4	HEL-S-106, LAP, LAPEP, PEPS	HGNC:18449	LAP3	ENSG00000002549	LAP3	51056	LAP3
MAOA	monoamine oxidase A	Amino Acid Metabolism	Catalyzes the oxidative deamination of biogenic and xenobiotic amines and has important functions in the metabolism of neuroactive and vasoactive amines in the central nervous system and peripheral tissues. MAOA preferentially oxidizes biogenic amines such as 5-hydroxytryptamine (5-HT), norepinephrine and epinephrine	X	BRNRS, MAO-A	HGNC:6833	MAOA	ENSG00000189221	MAOA	4128	MAOA
MAOB	monoamine oxidase B	Amino Acid Metabolism	Catalyzes the oxidative deamination of biogenic and xenobiotic amines and has important functions in the metabolism of neuroactive and vasoactive amines in the central nervous system and peripheral tissues. MAOB preferentially degrades benzylamine and phenylethylamine	X		HGNC:6834	MAOB	ENSG00000069535	MAOB	4129	MAOB
MCCC1	methylcrotonoyl-CoA carboxylase 1	Amino Acid Metabolism	This gene encodes the large subunit of 3-methylcrotonyl-CoA carboxylase. This enzyme functions as a heterodimer and catalyzes the carboxylation of 3-methylcrotonyl-CoA to form 3-methylglutaconyl-CoA. Mutations in this gene are associated with 3-Methylcrotonylglycinuria, an autosomal recessive disorder of leucine catabolism. [provided by RefSeq, Jul 2008],	3	MCC-B, MCCA	HGNC:6936	MCCC1	ENSG00000078070	MCCC1	56922	MCCC1
MCCC2	methylcrotonoyl-CoA carboxylase 2	Amino Acid Metabolism	This gene encodes the small subunit of  3-methylcrotonyl-CoA carboxylase. This enzyme functions as a heterodimer and catalyzes the carboxylation of 3-methylcrotonyl-CoA to form 3-methylglutaconyl-CoA. Mutations in this gene are associated with 3-Methylcrotonylglycinuria, an  autosomal recessive disorder of leucine catabolism. [provided by RefSeq, Jul 2008],	5	MCCB	HGNC:6937	MCCC2	ENSG00000131844	MCCC2	64087	MCCC2
MCEE	methylmalonyl-CoA epimerase	Amino Acid Metabolism	The product of this gene catalyzes the interconversion of D- and L-methylmalonyl-CoA during the degradation of branched chain amino acids. odd chain-length fatty acids, and other metabolites. Mutations in this gene result in methylmalonyl-CoA epimerase deficiency, which is presented as mild to moderate methylmalonic aciduria. [provided by RefSeq, Jul 2008],	2	GLOD2	HGNC:16732	MCEE	ENSG00000124370	MCEE	84693	MCEE
MMUT	methylmalonyl-CoA mutase	Amino Acid Metabolism	Involved in the degradation of several amino acids, odd- chain fatty acids and cholesterol via propionyl-CoA to the tricarboxylic acid cycle. MCM has different functions in other species	6	MCM, MUT	HGNC:7526	MMUT	ENSG00000146085	MMUT	4594	MMUT
MPST	mercaptopyruvate sulfurtransferase	Amino Acid Metabolism	Transfer of a sulfur ion to cyanide or to other thiol compounds. Also has weak rhodanese activity. May have a role in cyanide degradation or in thiosulfate biosynthesis	22	MST, TST2, TUM1	HGNC:7223	MPST	ENSG00000128309	MPST	4357	MPST
NADK2	NAD kinase 2, mitochondrial	Amino Acid Metabolism	This gene encodes a mitochondrial kinase that catalyzes the phosphorylation of NAD to yield NADP. Mutations in this gene result in 2,4-dienoyl-CoA reductase deficiency. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2014],	5	C5orf33, DECRD, MNADK, NADKD1	HGNC:26404	NADK2	ENSG00000152620	NADK2	133686	NADK2
